"PVWatts Hourly PV Performance Data"
"Requested Location","1712 kimberly dr, sunnyvale, ca"
"Location","Lat, Lng: 37.33, -122.06"
"Latitude (DD)","37.33"
"Longitude (DD)","-122.06"
"Elevation (m)","88.400001525879"
"DC System Size (kW)","1"
"Module Type","Premium"
"Array Type","Fixed (roof mount)"
"Array Tilt (deg)","18.4"
"Array Azimuth (deg)","180"
"System Losses (%)","0"
"DC to AC Size Ratio","1"
"Inverter Efficiency (%)","99"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (kW/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","7","1.2","0.1","0","7","0","0"
"1","1","1","0","0","7","1.1","0.1","0","7","0","0"
"1","1","2","0","0","7","1","0.1","0","7","0","0"
"1","1","3","0","0","7","1","0.1","0","7","0","0"
"1","1","4","0","0","7","1","0.1","0","7","0","0"
"1","1","5","0","0","7","1.1","0.1","0","7","0","0"
"1","1","6","0","0","6","1.2","0.1","0","6","0","0"
"1","1","7","0","0","7","1.2","0.1","0","0","0","0"
"1","1","8","476","55","9","1.8","0.1","250.001","16.183","240.231","234.09"
"1","1","9","667","79","10","2.4","0.1","463.061","22.024","471.629","464.298"
"1","1","10","507","134","11","2.6","0.1","500.283","23.496","503.87","496.373"
"1","1","11","94","214","11","2.7","0.1","297.52","18.266","296.639","290.207"
"1","1","12","12","180","11","2.6","0.1","189.018","15.692","186.477","180.612"
"1","1","13","844","76","11","2.4","0.1","687.538","28.831","684.801","676.373"
"1","1","14","108","155","11","2","0.1","236.82","17.619","237.076","230.951"
"1","1","15","0","45","10","1.3","0.1","42.841","11.391","40.823","35.708"
"1","1","16","57","28","9","0.9","0.1","47.499","10.56","34.993","29.908"
"1","1","17","0","0","9","0.9","0.1","0","9","0","0"
"1","1","18","0","0","8","0.9","0.1","0","8","0","0"
"1","1","19","0","0","8","0.9","0.1","0","8","0","0"
"1","1","20","0","0","8","0.9","0.1","0","8","0","0"
"1","1","21","0","0","8","0.9","0.1","0","8","0","0"
"1","1","22","0","0","8","0.9","0.1","0","8","0","0"
"1","1","23","0","0","8","1.1","0.1","0","8","0","0"
"1","2","0","0","0","9","1.2","0.1","0","9","0","0"
"1","2","1","0","0","9","1.2","0.1","0","9","0","0"
"1","2","2","0","0","8","1.2","0.1","0","8","0","0"
"1","2","3","0","0","8","1.3","0.1","0","8","0","0"
"1","2","4","0","0","8","1.5","0.1","0","8","0","0"
"1","2","5","0","0","9","1.8","0.1","0","9","0","0"
"1","2","6","0","0","9","1.9","0.1","0","9","0","0"
"1","2","7","0","0","9","1.9","0.1","0","0","0","0"
"1","2","8","66","68","9","2.1","0.1","101.973","11.769","98.297","92.886"
"1","2","9","0","9","9","2.4","0.1","8.55","9.221","7.699","2.754"
"1","2","10","31","168","9","2.7","0.1","197.949","13.835","198.216","192.291"
"1","2","11","18","182","9","2.8","0.1","195.75","13.691","195.023","189.114"
"1","2","12","5","169","9","2.7","0.1","171.846","13.189","170.439","164.657"
"1","2","13","0","111","9","2.5","0.1","107.676","11.723","105.872","100.422"
"1","2","14","0","13","9","2.2","0.1","12.356","9.331","11.288","6.324"
"1","2","15","0","18","8","1.7","0.1","17.103","8.508","15.878","10.891"
"1","2","16","0","23","8","1.4","0.1","22.133","8.661","17.159","12.165"
"1","2","17","0","0","8","1.3","0.1","0","8","0","0"
"1","2","18","0","0","8","1.3","0.1","0","8","0","0"
"1","2","19","0","0","8","1.4","0.1","0","8","0","0"
"1","2","20","0","0","8","1.5","0.1","0","8","0","0"
"1","2","21","0","0","7","1.5","0.1","0","7","0","0"
"1","2","22","0","0","7","1.2","0.1","0","7","0","0"
"1","2","23","0","0","7","1.1","0.1","0","7","0","0"
"1","3","0","0","0","7","1","0.1","0","7","0","0"
"1","3","1","0","0","7","0.9","0.1","0","7","0","0"
"1","3","2","0","0","7","0.9","0.1","0","7","0","0"
"1","3","3","0","0","7","0.9","0.1","0","7","0","0"
"1","3","4","0","0","7","0.9","0.1","0","7","0","0"
"1","3","5","0","0","7","0.7","0.1","0","7","0","0"
"1","3","6","0","0","7","0.7","0.1","0","7","0","0"
"1","3","7","0","0","7","0.7","0.1","0","0","0","0"
"1","3","8","325","57","8","0.9","0.1","194.682","14.91","186.973","181.105"
"1","3","9","355","113","9","1.2","0.1","330.333","20.046","334.276","327.651"
"1","3","10","849","69","9","1.3","0.1","653.753","30.364","648.385","640.145"
"1","3","11","97","216","10","1.3","0.1","302.014","19.811","299.534","293.088"
"1","3","12","154","225","11","1.1","0.1","365.569","23.468","360.128","353.37"
"1","3","13","372","177","11","0.9","0.1","464.691","27.719","457.71","450.45"
"1","3","14","325","141","11","1","0.1","357.491","23.552","356.975","350.233"
"1","3","15","648","55","10","0.9","0.1","363.55","23.048","358.955","352.204"
"1","3","16","323","28","8","0.9","0.1","125.486","12.112","94.955","89.561"
"1","3","17","0","0","8","1","0.1","0","8","0","0"
"1","3","18","0","0","7","1.1","0.1","0","7","0","0"
"1","3","19","0","0","7","1","0.1","0","7","0","0"
"1","3","20","0","0","6","0.9","0.1","0","6","0","0"
"1","3","21","0","0","6","0.7","0.1","0","6","0","0"
"1","3","22","0","0","6","0.5","0.1","0","6","0","0"
"1","3","23","0","0","6","0.4","0.1","0","6","0","0"
"1","4","0","0","0","6","0.3","0.1","0","6","0","0"
"1","4","1","0","0","7","0.3","0.1","0","7","0","0"
"1","4","2","0","0","7","0.5","0.1","0","7","0","0"
"1","4","3","0","0","7","0.6","0.1","0","7","0","0"
"1","4","4","0","0","7","0.6","0.1","0","7","0","0"
"1","4","5","0","0","7","0.6","0.1","0","7","0","0"
"1","4","6","0","0","7","0.5","0.1","0","7","0","0"
"1","4","7","0","0","7","0.5","0.1","0","0","0","0"
"1","4","8","263","61","8","0.9","0.1","176.389","14.265","169.659","163.881"
"1","4","9","17","120","9","1.5","0.1","129.882","13.034","129.06","123.491"
"1","4","10","129","186","10","1.8","0.1","292.461","18.512","292.856","286.444"
"1","4","11","40","200","11","1.9","0.1","241.229","17.859","238.57","232.437"
"1","4","12","0","52","11","1.9","0.1","49.536","12.407","46.982","41.835"
"1","4","13","0","62","11","1.5","0.1","59.075","12.83","56.494","51.298"
"1","4","14","0","15","10","0.9","0.1","14.259","10.512","13.037","8.064"
"1","4","15","0","9","9","0.5","0.1","8.546","9.342","7.671","2.726"
"1","4","16","279","31","8","0.6","0.1","118.077","12.246","91.792","86.414"
"1","4","17","0","0","7","1","0.1","0","7","0","0"
"1","4","18","0","0","7","1.1","0.1","0","7","0","0"
"1","4","19","0","0","7","1.2","0.1","0","7","0","0"
"1","4","20","0","0","7","1.1","0.1","0","7","0","0"
"1","4","21","0","0","7","1.1","0.1","0","7","0","0"
"1","4","22","0","0","7","1","0.1","0","7","0","0"
"1","4","23","0","0","7","1","0.1","0","7","0","0"
"1","5","0","0","0","7","1","0.1","0","7","0","0"
"1","5","1","0","0","8","1","0.1","0","8","0","0"
"1","5","2","0","0","8","1.1","0.1","0","8","0","0"
"1","5","3","0","0","7","1.1","0.1","0","7","0","0"
"1","5","4","0","0","7","1.1","0.1","0","7","0","0"
"1","5","5","0","0","7","1.2","0.1","0","7","0","0"
"1","5","6","0","0","7","1.4","0.1","0","7","0","0"
"1","5","7","0","0","8","1.7","0.1","0","0","0","0"
"1","5","8","0","47","9","2.2","0.1","45.497","10.215","43.15","38.023"
"1","5","9","0","52","10","2.4","0.1","49.515","11.278","47.647","42.496"
"1","5","10","0","56","11","2.4","0.1","53.34","12.375","51.005","45.837"
"1","5","11","0","111","12","2.3","0.1","107.318","14.816","104.003","98.562"
"1","5","12","15","185","12","2","0.1","196.48","17.469","192.763","186.866"
"1","5","13","0","23","12","1.5","0.1","21.883","12.678","20.081","15.072"
"1","5","14","0","30","11","1","0.1","28.538","11.998","26.712","21.669"
"1","5","15","54","99","10","0.5","0.1","130.059","15.208","127.75","122.187"
"1","5","16","265","33","10","0.4","0.1","116.92","14.493","92.063","86.684"
"1","5","17","0","0","10","0.4","0.1","0","10","0","0"
"1","5","18","0","0","10","0.4","0.1","0","10","0","0"
"1","5","19","0","0","9","0.4","0.1","0","9","0","0"
"1","5","20","0","0","9","0.5","0.1","0","9","0","0"
"1","5","21","0","0","9","0.6","0.1","0","9","0","0"
"1","5","22","0","0","9","0.5","0.1","0","9","0","0"
"1","5","23","0","0","8","0.4","0.1","0","8","0","0"
"1","6","0","0","0","8","0.3","0.1","0","8","0","0"
"1","6","1","0","0","8","0.2","0.1","0","8","0","0"
"1","6","2","0","0","8","0.3","0.1","0","8","0","0"
"1","6","3","0","0","7","0.6","0.1","0","7","0","0"
"1","6","4","0","0","7","1","0.1","0","7","0","0"
"1","6","5","0","0","6","1.3","0.1","0","6","0","0"
"1","6","6","0","0","6","1.3","0.1","0","6","0","0"
"1","6","7","0","0","6","1.2","0.1","0","0","0","0"
"1","6","8","551","47","7","1.2","0.1","267.483","15.79","257.078","250.851"
"1","6","9","747","64","9","1.3","0.1","485.92","24.896","490.947","483.517"
"1","6","10","846","70","11","1.1","0.1","653.953","33.427","641.139","632.936"
"1","6","11","887","72","12","1","0.1","743.188","38.107","714.479","705.898"
"1","6","12","466","179","12","1.1","0.1","566.556","31.366","551.902","544.157"
"1","6","13","306","191","13","1.1","0.1","436.322","27.912","427.862","420.755"
"1","6","14","803","66","12","1.1","0.1","571.436","31.612","564.298","556.49"
"1","6","15","677","54","11","0.9","0.1","377.746","24.569","372.416","365.595"
"1","6","16","377","28","9","0.9","0.1","142.291","13.757","113.234","107.746"
"1","6","17","0","0","8","1","0.1","0","8","0","0"
"1","6","18","0","0","8","1.1","0.1","0","8","0","0"
"1","6","19","0","0","8","1.2","0.1","0","8","0","0"
"1","6","20","0","0","8","1.5","0.1","0","8","0","0"
"1","6","21","0","0","8","1.9","0.1","0","8","0","0"
"1","6","22","0","0","8","2.4","0.1","0","8","0","0"
"1","6","23","0","0","8","2.9","0.1","0","8","0","0"
"1","7","0","0","0","8","3.5","0.1","0","8","0","0"
"1","7","1","0","0","7","4.3","0.1","0","7","0","0"
"1","7","2","0","0","6","4.8","0.1","0","6","0","0"
"1","7","3","0","0","6","5.2","0.1","0","6","0","0"
"1","7","4","0","0","7","5.8","0.1","0","7","0","0"
"1","7","5","0","0","7","6.2","0.1","0","7","0","0"
"1","7","6","0","0","7","6.6","0.1","0","7","0","0"
"1","7","7","0","0","8","6.9","0.1","0","0","0","0"
"1","7","8","0","16","9","6.8","0.1","15.199","9.214","13.827","8.85"
"1","7","9","213","130","11","6.4","0.1","266.072","14.94","271.51","265.208"
"1","7","10","75","184","12","5.9","0.1","245.654","15.831","246.457","240.284"
"1","7","11","26","192","13","5.3","0.1","212.326","16.545","209.893","203.908"
"1","7","12","0","97","13","4.5","0.1","93.024","14.718","89.592","84.226"
"1","7","13","0","18","12","4.8","0.1","17.123","12.304","15.565","10.579"
"1","7","14","0","28","11","5.7","0.1","26.633","11.425","24.911","19.877"
"1","7","15","0","17","10","5.2","0.1","16.152","10.273","14.86","9.878"
"1","7","16","0","4","9","4.1","0.1","3.794","9.072","2.959","0"
"1","7","17","0","0","9","3.5","0.1","0","9","0","0"
"1","7","18","0","0","9","3","0.1","0","9","0","0"
"1","7","19","0","0","9","2.3","0.1","0","9","0","0"
"1","7","20","0","0","9","2","0.1","0","9","0","0"
"1","7","21","0","0","9","2.1","0.1","0","9","0","0"
"1","7","22","0","0","9","2","0.1","0","9","0","0"
"1","7","23","0","0","10","2","0.1","0","10","0","0"
"1","8","0","0","0","10","2.5","0.1","0","10","0","0"
"1","8","1","0","0","9","2.6","0.1","0","9","0","0"
"1","8","2","0","0","9","2.4","0.1","0","9","0","0"
"1","8","3","0","0","8","2.3","0.1","0","8","0","0"
"1","8","4","0","0","8","2.1","0.1","0","8","0","0"
"1","8","5","0","0","7","1.7","0.1","0","7","0","0"
"1","8","6","0","0","7","1.8","0.1","0","7","0","0"
"1","8","7","0","0","8","2.4","0.1","0","0","0","0"
"1","8","8","0","11","9","3.4","0.1","10.445","9.226","9.347","4.393"
"1","8","9","0","31","10","4.1","0.1","29.485","10.577","27.853","22.804"
"1","8","10","417","155","11","4.9","0.1","465.388","19.209","474.113","466.769"
"1","8","11","342","201","12","5.4","0.1","484.415","20.018","489.327","481.904"
"1","8","12","0","129","12","5.6","0.1","125.623","14.022","122.671","117.135"
"1","8","13","434","170","12","5.5","0.1","513.314","20.405","520.441","512.859"
"1","8","14","52","157","12","5.2","0.1","198.036","15.356","197.998","192.074"
"1","8","15","0","15","11","4.4","0.1","14.25","11.267","12.983","8.011"
"1","8","16","362","31","10","3.5","0.11","143.189","12.887","117.938","112.426"
"1","8","17","0","0","10","2.9","0.11","0","10","0","0"
"1","8","18","0","0","10","2.7","0.11","0","10","0","0"
"1","8","19","0","0","10","2.7","0.11","0","10","0","0"
"1","8","20","0","0","10","2.5","0.11","0","10","0","0"
"1","8","21","0","0","9","1.9","0.11","0","9","0","0"
"1","8","22","0","0","9","1.4","0.11","0","9","0","0"
"1","8","23","0","0","8","1.2","0.11","0","8","0","0"
"1","9","0","0","0","8","1.2","0.11","0","8","0","0"
"1","9","1","0","0","8","1.2","0.11","0","8","0","0"
"1","9","2","0","0","8","1.2","0.11","0","8","0","0"
"1","9","3","0","0","8","1.3","0.11","0","8","0","0"
"1","9","4","0","0","8","1.3","0.11","0","8","0","0"
"1","9","5","0","0","7","1.3","0.11","0","7","0","0"
"1","9","6","0","0","7","1.2","0.11","0","7","0","0"
"1","9","7","0","0","8","1.1","0.11","0","0","0","0"
"1","9","8","71","68","10","1.4","0.11","103.186","13.254","98.899","93.485"
"1","9","9","0","20","11","1.8","0.11","19.017","11.553","17.553","12.557"
"1","9","10","31","171","12","1.9","0.11","200.937","17.718","198.295","192.37"
"1","9","11","521","163","13","1.8","0.11","583.861","30.019","572.832","564.98"
"1","9","12","260","223","13","1.8","0.11","453.816","26.201","446.017","438.817"
"1","9","13","298","196","13","1.8","0.11","438.019","25.757","432.628","425.497"
"1","9","14","192","163","12","1.6","0.11","298.031","21.069","297.334","290.899"
"1","9","15","11","95","11","1.1","0.11","100.703","14.434","98.293","92.882"
"1","9","16","0","21","10","0.8","0.11","19.979","10.718","17.01","12.016"
"1","9","17","0","0","10","0.9","0.11","0","10","0","0"
"1","9","18","0","0","10","0.9","0.11","0","10","0","0"
"1","9","19","0","0","10","0.9","0.11","0","10","0","0"
"1","9","20","0","0","9","0.9","0.11","0","9","0","0"
"1","9","21","0","0","9","1","0.11","0","9","0","0"
"1","9","22","0","0","8","1.1","0.11","0","8","0","0"
"1","9","23","0","0","8","1.1","0.11","0","8","0","0"
"1","10","0","0","0","8","1.1","0.11","0","8","0","0"
"1","10","1","0","0","8","1.1","0.11","0","8","0","0"
"1","10","2","0","0","8","1.1","0.11","0","8","0","0"
"1","10","3","0","0","8","1.1","0.11","0","8","0","0"
"1","10","4","0","0","8","1","0.11","0","8","0","0"
"1","10","5","0","0","8","0.9","0.11","0","8","0","0"
"1","10","6","0","0","8","0.9","0.11","0","8","0","0"
"1","10","7","0","0","9","0.9","0.11","0","0","0","0"
"1","10","8","13","65","10","1.3","0.11","70.422","12.278","67.27","62.018"
"1","10","9","0","89","11","2","0.11","86.767","13.421","84.624","79.283"
"1","10","10","13","160","12","2.7","0.11","168.832","16.121","166.365","160.603"
"1","10","11","0","128","13","3.3","0.11","124.714","15.747","121.014","115.486"
"1","10","12","36","208","13","3.7","0.11","247.099","18.118","243.803","237.644"
"1","10","13","141","212","13","3.7","0.11","336.065","19.977","334.98","328.351"
"1","10","14","296","154","13","3.4","0.11","359.27","20.836","361.665","354.899"
"1","10","15","144","105","12","3","0.11","183.956","16.271","182.861","177.015"
"1","10","16","77","36","11","3.2","0.11","63.132","12.366","54.081","48.897"
"1","10","17","0","0","11","4.2","0.11","0","11","0","0"
"1","10","18","0","0","11","4.7","0.11","0","11","0","0"
"1","10","19","0","0","11","4.8","0.11","0","11","0","0"
"1","10","20","0","0","10","4.8","0.11","0","10","0","0"
"1","10","21","0","0","9","4.4","0.11","0","9","0","0"
"1","10","22","0","0","8","3.8","0.11","0","8","0","0"
"1","10","23","0","0","8","3.4","0.11","0","8","0","0"
"1","11","0","0","0","8","3.5","0.11","0","8","0","0"
"1","11","1","0","0","8","3.7","0.11","0","8","0","0"
"1","11","2","0","0","9","3.5","0.11","0","9","0","0"
"1","11","3","0","0","9","3","0.11","0","9","0","0"
"1","11","4","0","0","9","2.9","0.11","0","9","0","0"
"1","11","5","0","0","9","3.6","0.11","0","9","0","0"
"1","11","6","0","0","9","4.5","0.11","0","9","0","0"
"1","11","7","0","0","9","4.2","0.11","0","0","0","0"
"1","11","8","248","81","9","3.5","0.11","188.922","13.005","183.562","177.713"
"1","11","9","134","136","10","4.1","0.11","223.547","14.388","226.664","220.592"
"1","11","10","773","90","10","5","0.11","634.201","21.063","648.851","640.608"
"1","11","11","347","203","11","5.2","0.11","491.535","19.335","497.664","490.199"
"1","11","12","322","215","11","5","0.11","492.106","19.55","496.992","489.53"
"1","11","13","793","97","11","4.7","0.11","690.848","23.515","699.605","691.101"
"1","11","14","713","93","11","4.1","0.11","558.946","22.002","569.981","562.144"
"1","11","15","592","73","10","3.2","0.11","370.162","18.327","374.718","367.885"
"1","11","16","296","39","9","2.2","0.11","136.074","12.487","116.816","111.309"
"1","11","17","0","0","8","1.4","0.11","0","8","0","0"
"1","11","18","0","0","7","1.1","0.11","0","7","0","0"
"1","11","19","0","0","6","1","0.11","0","6","0","0"
"1","11","20","0","0","6","0.9","0.11","0","6","0","0"
"1","11","21","0","0","6","0.8","0.11","0","6","0","0"
"1","11","22","0","0","6","0.9","0.11","0","6","0","0"
"1","11","23","0","0","7","1.1","0.11","0","7","0","0"
"1","12","0","0","0","7","1.1","0.11","0","7","0","0"
"1","12","1","0","0","6","1.2","0.11","0","6","0","0"
"1","12","2","0","0","6","1.2","0.11","0","6","0","0"
"1","12","3","0","0","6","1.3","0.11","0","6","0","0"
"1","12","4","0","0","6","1.2","0.11","0","6","0","0"
"1","12","5","0","0","6","1.1","0.11","0","6","0","0"
"1","12","6","0","0","6","1","0.11","0","6","0","0"
"1","12","7","0","0","6","0.8","0.11","0","0","0","0"
"1","12","8","608","46","6","0.5","0.11","284.023","17.231","271.947","265.642"
"1","12","9","799","62","8","0.6","0.11","513.111","28.105","513.04","505.496"
"1","12","10","881","70","10","1.1","0.11","681.37","33.364","668.232","659.889"
"1","12","11","918","73","11","1.7","0.11","774.166","34.088","755.24","746.45"
"1","12","12","926","74","12","1.9","0.11","796.612","34.77","774.611","765.721"
"1","12","13","892","77","13","1.9","0.11","740.725","34.185","722.867","714.243"
"1","12","14","844","69","12","1.7","0.11","611.451","30.268","607.025","598.997"
"1","12","15","734","56","11","1.2","0.11","416.762","24.91","413.872","406.838"
"1","12","16","465","33","10","0.7","0.11","177.462","16.401","150.182","144.504"
"1","12","17","0","0","10","0.4","0.11","0","10","0","0"
"1","12","18","0","0","9","0.3","0.11","0","9","0","0"
"1","12","19","0","0","9","0.5","0.11","0","9","0","0"
"1","12","20","0","0","8","0.8","0.11","0","8","0","0"
"1","12","21","0","0","7","0.9","0.11","0","7","0","0"
"1","12","22","0","0","6","0.9","0.11","0","6","0","0"
"1","12","23","0","0","6","0.8","0.11","0","6","0","0"
"1","13","0","0","0","6","0.6","0.11","0","6","0","0"
"1","13","1","0","0","6","0.6","0.11","0","6","0","0"
"1","13","2","0","0","5","0.8","0.11","0","5","0","0"
"1","13","3","0","0","4","1","0.11","0","4","0","0"
"1","13","4","0","0","4","1","0.11","0","4","0","0"
"1","13","5","0","0","4","1","0.11","0","4","0","0"
"1","13","6","0","0","4","0.9","0.11","0","4","0","0"
"1","13","7","0","0","4","0.9","0.11","0","0","0","0"
"1","13","8","0","59","5","1.2","0.11","58.561","6.942","56.925","51.727"
"1","13","9","0","106","6","1.4","0.11","104.817","9.328","104.583","99.139"
"1","13","10","2","150","7","1.4","0.11","150.388","11.768","149.8","144.124"
"1","13","11","14","185","7","1.7","0.11","195.395","12.79","194.939","189.031"
"1","13","12","15","192","8","1.9","0.11","203.535","13.78","202.386","196.44"
"1","13","13","57","204","8","1.8","0.11","257.3","15.473","257.569","251.339"
"1","13","14","60","165","7","1.4","0.11","211.999","13.736","213.606","207.602"
"1","13","15","76","108","6","0.9","0.11","150.378","11.401","151.178","145.494"
"1","13","16","0","10","5","0.7","0.11","9.497","5.353","8.235","3.287"
"1","13","17","0","0","5","0.8","0.11","0","5","0","0"
"1","13","18","0","0","5","0.8","0.11","0","5","0","0"
"1","13","19","0","0","4","0.9","0.11","0","4","0","0"
"1","13","20","0","0","4","1","0.11","0","4","0","0"
"1","13","21","0","0","3","1","0.11","0","3","0","0"
"1","13","22","0","0","3","0.9","0.11","0","3","0","0"
"1","13","23","0","0","4","1.2","0.11","0","4","0","0"
"1","14","0","0","0","4","1.6","0.11","0","4","0","0"
"1","14","1","0","0","4","1.6","0.11","0","4","0","0"
"1","14","2","0","0","3","1.4","0.11","0","3","0","0"
"1","14","3","0","0","3","1.2","0.11","0","3","0","0"
"1","14","4","0","0","3","1.2","0.11","0","3","0","0"
"1","14","5","0","0","2","1","0.11","0","2","0","0"
"1","14","6","0","0","2","1","0.11","0","2","0","0"
"1","14","7","0","0","3","1.4","0.11","0","0","0","0"
"1","14","8","637","42","6","1.8","0.11","290.796","14.346","281.598","275.244"
"1","14","9","154","137","8","1.7","0.11","235.337","15.009","238.638","232.505"
"1","14","10","876","68","10","1.8","0.11","673.143","29.674","669.067","660.72"
"1","14","11","910","72","11","1.9","0.11","769.84","33.009","753.746","744.964"
"1","14","12","611","145","12","2","0.11","649.428","30.162","637.741","629.555"
"1","14","13","875","77","12","2","0.11","732.52","32.524","718.849","710.246"
"1","14","14","813","72","11","1.6","0.11","599.859","29.313","597.078","589.101"
"1","14","15","701","59","10","1","0.11","408.335","24.327","406.872","399.873"
"1","14","16","449","34","9","0.9","0.11","176.371","15.063","152.378","146.688"
"1","14","17","0","0","7","1","0.11","0","7","0","0"
"1","14","18","0","0","6","1","0.11","0","6","0","0"
"1","14","19","0","0","6","1.1","0.11","0","6","0","0"
"1","14","20","0","0","5","1.1","0.11","0","5","0","0"
"1","14","21","0","0","5","1.1","0.11","0","5","0","0"
"1","14","22","0","0","4","1.2","0.11","0","4","0","0"
"1","14","23","0","0","4","1.2","0.11","0","4","0","0"
"1","15","0","0","0","4","1.3","0.11","0","4","0","0"
"1","15","1","0","0","3","1.3","0.11","0","3","0","0"
"1","15","2","0","0","3","1.3","0.11","0","3","0","0"
"1","15","3","0","0","3","1.3","0.11","0","3","0","0"
"1","15","4","0","0","3","1.3","0.11","0","3","0","0"
"1","15","5","0","0","2","1.4","0.11","0","2","0","0"
"1","15","6","0","0","2","1.5","0.11","0","2","0","0"
"1","15","7","0","0","4","1.9","0.11","0","0","0","0"
"1","15","8","91","71","6","2.2","0.11","113.555","9.024","111.031","105.554"
"1","15","9","571","86","8","2.1","0.11","420.623","19.568","430.702","423.581"
"1","15","10","483","147","10","1.9","0.11","503.213","24.378","504.238","496.739"
"1","15","11","499","173","11","1.6","0.11","583.005","28.735","573.83","565.973"
"1","15","12","614","145","12","1.2","0.11","652.991","33.789","632.643","624.484"
"1","15","13","322","201","12","0.9","0.11","464.332","28.688","453.959","446.719"
"1","15","14","340","155","12","0.7","0.11","390.817","26.846","385.72","378.831"
"1","15","15","86","112","11","0.7","0.11","165.537","17.273","163.471","157.725"
"1","15","16","5","41","10","0.8","0.11","42.815","11.553","38.728","33.623"
"1","15","17","0","0","10","0.6","0.11","0","10","0","0"
"1","15","18","0","0","10","0.4","0.11","0","10","0","0"
"1","15","19","0","0","9","0.4","0.11","0","9","0","0"
"1","15","20","0","0","8","0.6","0.11","0","8","0","0"
"1","15","21","0","0","7","0.9","0.11","0","7","0","0"
"1","15","22","0","0","6","1.1","0.11","0","6","0","0"
"1","15","23","0","0","5","1.1","0.11","0","5","0","0"
"1","16","0","0","0","5","1.1","0.11","0","5","0","0"
"1","16","1","0","0","5","1","0.11","0","5","0","0"
"1","16","2","0","0","5","0.9","0.11","0","5","0","0"
"1","16","3","0","0","5","0.9","0.11","0","5","0","0"
"1","16","4","0","0","4","0.9","0.11","0","4","0","0"
"1","16","5","0","0","4","0.9","0.11","0","4","0","0"
"1","16","6","0","0","4","1","0.11","0","4","0","0"
"1","16","7","0","0","5","1.2","0.11","0","0","0","0"
"1","16","8","394","56","7","1.6","0.11","219.234","13.583","212.537","206.538"
"1","16","9","754","63","9","1.5","0.11","492.114","24.373","498.195","490.727"
"1","16","10","849","68","11","1.2","0.11","661.605","33.135","648.781","640.538"
"1","16","11","885","73","13","1.3","0.11","755.35","37.646","726.426","717.784"
"1","16","12","891","74","14","1.7","0.11","777.149","37.165","748.15","739.397"
"1","16","13","871","73","15","2","0.11","724.053","35.286","703.118","694.596"
"1","16","14","814","68","14","2","0.11","600.045","30.835","593.828","585.868"
"1","16","15","702","57","13","1.4","0.11","410.396","26.079","407.109","400.109"
"1","16","16","460","34","11","0.9","0.11","181.825","17.274","157.743","152.026"
"1","16","17","0","0","10","0.9","0.11","0","10","0","0"
"1","16","18","0","0","10","0.9","0.11","0","10","0","0"
"1","16","19","0","0","9","0.9","0.11","0","9","0","0"
"1","16","20","0","0","9","0.9","0.11","0","9","0","0"
"1","16","21","0","0","8","0.9","0.11","0","8","0","0"
"1","16","22","0","0","8","1","0.11","0","8","0","0"
"1","16","23","0","0","8","1","0.11","0","8","0","0"
"1","17","0","0","0","8","1","0.11","0","8","0","0"
"1","17","1","0","0","8","1","0.11","0","8","0","0"
"1","17","2","0","0","7","1.1","0.11","0","7","0","0"
"1","17","3","0","0","7","1","0.11","0","7","0","0"
"1","17","4","0","0","7","1.2","0.11","0","7","0","0"
"1","17","5","0","0","7","1.5","0.11","0","7","0","0"
"1","17","6","0","0","7","1.7","0.11","0","7","0","0"
"1","17","7","0","0","7","1.8","0.11","0","0","0","0"
"1","17","8","164","70","8","2","0.11","143.833","11.981","139.705","134.08"
"1","17","9","413","112","10","2","0.11","361.694","20.139","367.056","360.262"
"1","17","10","714","91","12","2","0.11","600.893","28.84","596.68","588.706"
"1","17","11","619","140","13","2.2","0.11","641.951","30.258","630.506","622.358"
"1","17","12","274","232","14","2.4","0.11","477.907","26.336","469.394","462.074"
"1","17","13","513","163","15","2.3","0.11","571.443","30.068","560.299","552.511"
"1","17","14","260","169","15","1.9","0.11","358.243","25.227","353.901","347.175"
"1","17","15","451","86","14","1.3","0.11","323.599","24.552","320.261","313.709"
"1","17","16","152","46","11","1","0.11","101.328","14.45","90.405","85.035"
"1","17","17","0","0","10","1","0.11","0","10","0","0"
"1","17","18","0","0","9","1","0.11","0","9","0","0"
"1","17","19","0","0","9","1","0.11","0","9","0","0"
"1","17","20","0","0","9","1","0.11","0","9","0","0"
"1","17","21","0","0","8","1","0.11","0","8","0","0"
"1","17","22","0","0","8","1","0.11","0","8","0","0"
"1","17","23","0","0","8","1","0.11","0","8","0","0"
"1","18","0","0","0","8","1.5","0.11","0","8","0","0"
"1","18","1","0","0","8","2","0.11","0","8","0","0"
"1","18","2","0","0","7","2.1","0.11","0","7","0","0"
"1","18","3","0","0","7","2.2","0.11","0","7","0","0"
